detector,n_streams,rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
PH,500,0.3,alpha-investing,0.05,3,23500,22425,0,0,0,0.0,0.0,0.0,0.0,0.0,inf,50,0,1.0,,,2101.34
PH,500,0.3,raw,,4,19521,19457,1347,1297,50,0.9628804751299184,0.0666598139487074,27.595744680851062,1.0,0.5519148936170213,1811.8735543562066,50,50,0.0,122.84,106.0,122.84
PH,500,0.3,uncorrected,0.05,4,23060,22951,147,97,50,0.6598639455782312,0.004226395364036425,2.0638297872340425,0.6595744680851063,0.04127659574468085,24226.80412371134,50,50,0.0,168.84,149.5,168.84
PH,500,0.3,bonferroni,0.05,4,23350,23158,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,328.84,315.0,328.84
PH,500,0.3,bh_window,0.05,4,23350,23179,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,286.84,261.5,286.84
PH,500,0.3,LOND,0.05,4,23369,22938,44,0,44,0.0,0.0,0.0,0.0,0.0,inf,50,44,0.12,630.8181818181819,442.0,806.84
PH,500,0.3,LORD++,0.05,4,23350,23117,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,410.84,354.5,410.84
PH,500,0.3,SAFFRON,0.05,4,23344,22994,52,2,50,0.038461538461538464,8.697921196833956e-05,0.0425531914893617,0.02127659574468085,0.000851063829787234,1175000.0,50,50,0.0,644.84,490.5,644.84
PH,500,0.3,alpha-investing,0.05,4,23350,22929,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,786.84,666.5,786.84
PH,500,0.3,raw,,2,17324,17267,2156,2106,50,0.9768089053803339,0.12196675739850582,44.808510638297875,1.0,0.8961702127659574,1115.8594491927824,50,50,0.0,100.48,84.5,100.48
PH,500,0.3,uncorrected,0.05,2,22294,22218,427,377,50,0.882903981264637,0.016968223962552886,8.02127659574468,0.851063829787234,0.16042553191489362,6233.42175066313,50,50,0.0,104.48,104.5,104.48
PH,500,0.3,bonferroni,0.05,2,23350,23203,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,246.48,252.0,246.48
PH,500,0.3,bh_window,0.05,2,23341,23209,53,3,50,0.05660377358490566,0.00012926020078417856,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,216.48,222.5,216.48
PH,500,0.3,LOND,0.05,2,23350,23122,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,408.48,356.5,408.48
PH,500,0.3,LORD++,0.05,2,23350,23186,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,280.48,263.0,280.48
PH,500,0.3,SAFFRON,0.05,2,23311,23154,63,13,50,0.20634920634920634,0.0005614580634015721,0.2765957446808511,0.1276595744680851,0.005531914893617021,180769.23076923078,50,50,0.0,266.48,251.0,266.48
PH,500,0.3,alpha-investing,0.05,2,23341,23110,53,3,50,0.05660377358490566,0.00012981393336218086,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,414.48,387.0,414.48
PH,500,0.3,raw,,5,17838,17773,1916,1866,50,0.9739039665970772,0.10499071625499352,39.702127659574465,1.0,0.7940425531914893,1259.3783494105037,50,50,0.0,144.04,109.5,144.04
PH,500,0.3,uncorrected,0.05,5,22260,22175,415,365,50,0.8795180722891566,0.016459977452085682,7.76595744680851,0.8723404255319149,0.15531914893617021,6438.356164383562,50,50,0.0,132.04,116.0,132.04
PH,500,0.3,bonferroni,0.05,5,23347,23193,51,1,50,0.0196078431372549,4.311645755184754e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,256.04,248.5,256.04
PH,500,0.3,bh_window,0.05,5,23335,23193,55,5,50,0.09090909090909091,0.0002155822877592377,0.10638297872340426,0.0851063829787234,0.002127659574468085,470000.0,50,50,0.0,232.04,228.0,232.04
PH,500,0.3,LOND,0.05,5,23362,23073,46,0,46,0.0,0.0,0.0,0.0,0.0,inf,50,46,0.07999999999999996,394.5869565217391,367.0,526.04
PH,500,0.3,LORD++,0.05,5,23350,23174,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,300.04,304.5,300.04
PH,500,0.3,SAFFRON,0.05,5,23194,22988,102,54,48,0.5294117647058824,0.002349051679136941,1.148936170212766,0.1276595744680851,0.02297872340425532,43518.51851851852,50,48,0.040000000000000036,327.4791666666667,291.5,370.04
PH,500,0.3,alpha-investing,0.05,5,23308,22984,64,17,47,0.265625,0.0007396449704142012,0.3617021276595745,0.0851063829787234,0.00723404255319149,138235.29411764705,50,47,0.06000000000000005,564.0851063829788,488.0,596.04
PH,500,0.3,raw,,6,17969,17911,1878,1828,50,0.9733759318423855,0.10206018647758361,38.8936170212766,1.0,0.7778723404255319,1285.5579868708971,50,50,0.0,132.86,94.0,132.86
PH,500,0.3,uncorrected,0.05,6,22592,22505,307,257,50,0.8371335504885994,0.011419684514552322,5.468085106382978,0.8936170212765957,0.10936170212765957,9143.96887159533,50,50,0.0,130.86,137.5,130.86
PH,500,0.3,bonferroni,0.05,6,23347,23177,51,2,49,0.0392156862745098,8.62924450964318e-05,0.0425531914893617,0.02127659574468085,0.000851063829787234,1175000.0,50,49,0.020000000000000018,279.6938775510204,271.0,294.86
PH,500,0.3,bh_window,0.05,6,23347,23194,51,2,49,0.0392156862745098,8.622919720617402e-05,0.0425531914893617,0.02127659574468085,0.000851063829787234,1175000.0,50,49,0.020000000000000018,245.0,255.0,260.86
PH,500,0.3,LOND,0.05,6,23366,22965,45,0,45,0.0,0.0,0.0,0.0,0.0,inf,50,45,0.09999999999999998,601.9777777777778,424.0,756.86
PH,500,0.3,LORD++,0.05,6,23347,23162,51,2,49,0.0392156862745098,8.634832915983076e-05,0.0425531914893617,0.02127659574468085,0.000851063829787234,1175000.0,50,49,0.020000000000000018,310.3061224489796,301.0,324.86
PH,500,0.3,SAFFRON,0.05,6,23323,23100,59,10,49,0.1694915254237288,0.0004329004329004329,0.2127659574468085,0.06382978723404255,0.00425531914893617,235000.0,50,49,0.020000000000000018,387.85714285714283,351.0,400.86
PH,500,0.3,alpha-investing,0.05,6,23350,22863,50,2,48,0.04,8.747758386913353e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,48,0.040000000000000036,898.6666666666666,774.0,928.86
PH,500,0.3,raw,,8,18136,18077,1844,1794,50,0.972885032537961,0.09924213088454943,38.170212765957444,1.0,0.7634042553191489,1309.9219620958752,50,50,0.0,134.32,101.5,134.32
