case,seed,drift_type,magnitude,rho,pattern,detector,view,rule,false_alarms_per_1k_stream_steps,p_any_false_alarm_per_window,fdp,precision,recall,f1,mean_delay,degraded_per_drift
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,PH river по умолчанию,сырые,порог,0.7595744680851064,1.0,0.9727520435967303,0.027247956403269755,1.0,0.05305039787798409,145.5,145.5
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH,сырые,uncorrected,0.12127659574468085,0.6808510638297872,0.8507462686567164,0.14925373134328357,1.0,0.2597402597402597,223.1,223.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH,сырые,bonferroni,0.00425531914893617,0.0425531914893617,0.16666666666666666,0.75,0.9,0.8181818181818182,633.1,633.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH,сырые,bh_window,0.00851063829787234,0.0425531914893617,0.2857142857142857,0.7142857142857143,1.0,0.8333333333333333,473.1,473.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH,сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,2093.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH,остатки,bonferroni,0.0,0.0,0.0,0.8571428571428571,0.6,0.7058823529411764,590.0,923.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,PH,остатки,bh_window,0.002127659574468085,0.02127659574468085,0.1,0.6,0.6,0.6,810.8888888888889,903.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,KS,сырые,uncorrected,0.14468085106382977,0.723404255319149,0.8831168831168831,0.1038961038961039,0.8,0.18390804597701152,410.77777777777777,543.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,KS,сырые,bonferroni,0.0,0.0,0.0,0.6666666666666666,0.6,0.631578947368421,706.7777777777778,853.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,KS,сырые,bh_window,0.002127659574468085,0.02127659574468085,0.09090909090909091,0.6363636363636364,0.7,0.6666666666666666,713.1,713.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,KS,сырые,LORD++,0.0,0.0,0.0,0.3333333333333333,0.1,0.15384615384615383,1206.6666666666667,1733.1
"abrupt, Δ=0.5, ρ=0, scattered",1003,abrupt,0.5,0.0,scattered,KS,остатки,bonferroni,0.0,0.0,0.0,0.8333333333333334,0.5,0.625,653.8333333333334,1013.1
