scenario,rho,seed,method,false_alarms,fdp,p_any_false_alarm_per_window,max_burst,degraded_per_drift,fleet_true,fleet_false
"событие, все модели",0.3,7,остатки + тест парка,0,0.0,0.0,0,157.0,1,0
"событие, все модели",0.3,8,сырые ряды,0,0.0,0.0,0,233.5,0,0
"событие, все модели",0.3,8,остатки,0,0.0,0.0,0,1539.0,0,0
"событие, все модели",0.3,8,остатки + тест парка,0,0.0,0.0,0,139.0,1,0
"событие, все модели",0.3,9,сырые ряды,0,0.0,0.0,0,257.0,0,0
"событие, все модели",0.3,9,остатки,1,0.5,0.02127659574468085,1,2339.0,0,0
"событие, все модели",0.3,9,остатки + тест парка,1,0.5,0.02127659574468085,1,144.0,1,0
"событие, все модели",0.6,0,сырые ряды,0,0.0,0.0,0,198.5,0,0
"событие, все модели",0.6,0,остатки,0,0.0,0.0,0,2171.0,0,0
"событие, все модели",0.6,0,остатки + тест парка,0,0.0,0.0,0,178.0,1,0
"событие, все модели",0.6,1,сырые ряды,1,0.004975124378109453,0.02127659574468085,1,187.5,0,0
"событие, все модели",0.6,1,остатки,1,0.5,0.02127659574468085,1,2561.5,0,0
"событие, все модели",0.6,1,остатки + тест парка,1,0.5,0.02127659574468085,1,164.0,1,0
"событие, все модели",0.6,3,сырые ряды,0,0.0,0.0,0,288.0,0,0
"событие, все модели",0.6,3,остатки,0,0.0,0.0,0,3008.5,0,0
"событие, все модели",0.6,3,остатки + тест парка,0,0.0,0.0,0,214.0,1,0
"событие, все модели",0.6,2,сырые ряды,0,0.0,0.0,0,242.5,0,0
"событие, все модели",0.6,2,остатки,0,0.0,0.0,0,2986.0,0,0
"событие, все модели",0.6,2,остатки + тест парка,0,0.0,0.0,0,217.0,1,0
"событие, все модели",0.6,4,сырые ряды,0,0.0,0.0,0,248.0,0,0
"событие, все модели",0.6,4,остатки,0,0.0,0.0,0,1105.5,0,0
"событие, все модели",0.6,4,остатки + тест парка,0,0.0,0.0,0,210.0,1,0
"событие, все модели",0.6,5,сырые ряды,0,0.0,0.0,0,274.5,0,0
"событие, все модели",0.6,5,остатки,0,0.0,0.0,0,3097.0,0,0
"событие, все модели",0.6,5,остатки + тест парка,0,0.0,0.0,0,197.0,1,0
"событие, все модели",0.6,7,сырые ряды,0,0.0,0.0,0,189.5,0,0
"событие, все модели",0.6,7,остатки,0,0.0,0.0,0,1357.0,0,0
"событие, все модели",0.6,7,остатки + тест парка,0,0.0,0.0,0,157.0,1,0
"событие, все модели",0.6,6,сырые ряды,0,0.0,0.0,0,225.5,0,0
"событие, все модели",0.6,6,остатки,0,0.0,0.0,0,1682.0,0,0
"событие, все модели",0.6,6,остатки + тест парка,0,0.0,0.0,0,189.0,1,0
"событие, все модели",0.6,8,сырые ряды,0,0.0,0.0,0,234.5,0,0
"событие, все модели",0.6,8,остатки,0,0.0,0.0,0,1539.0,0,0
"событие, все модели",0.6,8,остатки + тест парка,0,0.0,0.0,0,139.0,1,0
"событие, все модели",0.6,9,сырые ряды,0,0.0,0.0,0,276.0,0,0
"событие, все модели",0.6,9,остатки,1,0.3333333333333333,0.02127659574468085,1,2335.5,0,0
"событие, все модели",0.6,9,остатки + тест парка,1,0.3333333333333333,0.02127659574468085,1,244.0,1,0
