part,tolerance,shift,reject
A,0.0,0.5969647914908439,True
A,0.0,0.8099452126179557,True
A,0.0,0.8704786228649428,True
A,0.0,0.580367043609974,True
A,0.0,0.22413863557468294,False
A,0.0,0.06559858356043657,False
A,0.0,0.2362296621402784,False
A,0.0,0.0,False
A,0.0,0.8888643749228888,True
A,0.0,0.7654485859360864,True
A,0.0,0.007312717682117387,False
A,0.0,0.28811224568502247,True
A,0.0,0.0,False
A,0.0,0.3448862380157586,False
A,0.0,0.26800981941263724,False
A,0.0,0.2561535327114225,False
A,0.0,0.9691699269495108,True
A,0.0,0.5388409901269166,True
A,0.0,0.5708160813005236,True
A,0.0,0.4053795454263748,False
A,0.0,0.6280051775132077,True
A,0.0,0.7424271080024819,True
A,0.0,0.5437090167721177,True
A,0.0,0.360652721975514,False
A,0.0,0.9516255418506456,True
