case,seed,method,false_alarms,p_false_alarm_per_100_steps,mean_delay,degraded_per_drift,missed,f1,us_per_model_step
"no drift, ρ=0.6",0,"PH, окно 25",0,0.0,,,,,5.160603585996341
"no drift, ρ=0.6",0,"PH + AR, окно 25",0,0.0,,,,,5.897833921997972
"no drift, ρ=0.6",0,"e-CUSUM, окно 100",0,0.0,,,,,1.988862094000524
"no drift, ρ=0.6",1,"PH, окно 100",8,0.1276595744680851,,,,,1.6355729940000856
"no drift, ρ=0.6",1,"MeanShift(3), окно 100",15,0.1063829787234042,,,,,1.4623915179977305
"no drift, ρ=0.6",1,"PH, окно 25",2,0.0425531914893617,,,,,5.0922550879986375
"no drift, ρ=0.6",1,"PH + AR, окно 100",9,0.1276595744680851,,,,,2.1345200139990084
"no drift, ρ=0.6",1,"PH + AR, окно 25",0,0.0,,,,,6.175617126001271
"no drift, ρ=0.6",1,"e-CUSUM, окно 100",33,0.1914893617021276,,,,,2.016904588002035
"no drift, ρ=0.6",2,"MeanShift(3), окно 100",5,0.0638297872340425,,,,,1.5585934319992705
"no drift, ρ=0.6",2,"PH, окно 100",1,0.0212765957446808,,,,,1.7063509759996125
"no drift, ρ=0.6",2,"PH, окно 25",1,0.0212765957446808,,,,,5.331568167999649
"no drift, ρ=0.6",2,"PH + AR, окно 100",1,0.0212765957446808,,,,,1.9321799099989223
"no drift, ρ=0.6",2,"PH + AR, окно 25",1,0.0212765957446808,,,,,6.273503144001097
"no drift, ρ=0.6",3,"PH, окно 100",0,0.0,,,,,1.837671284000408
"no drift, ρ=0.6",3,"MeanShift(3), окно 100",0,0.0,,,,,1.452429140000277
"no drift, ρ=0.6",2,"e-CUSUM, окно 100",3,0.0638297872340425,,,,,2.0871831860017664
"no drift, ρ=0.6",3,"PH + AR, окно 100",0,0.0,,,,,2.0160170579993064
"no drift, ρ=0.6",3,"PH, окно 25",0,0.0,,,,,5.011986260002686
"no drift, ρ=0.6",3,"PH + AR, окно 25",0,0.0,,,,,6.256155055995805
"no drift, ρ=0.6",4,"PH, окно 100",0,0.0,,,,,1.846687808000297
"no drift, ρ=0.6",3,"e-CUSUM, окно 100",1,0.0212765957446808,,,,,2.0643832699993254
"no drift, ρ=0.6",4,"MeanShift(3), окно 100",0,0.0,,,,,1.4579144739996082
"no drift, ρ=0.6",4,"PH, окно 25",0,0.0,,,,,4.661355561995606
"no drift, ρ=0.6",4,"PH + AR, окно 100",0,0.0,,,,,2.1261008740016223
"no drift, ρ=0.6",4,"PH + AR, окно 25",0,0.0,,,,,6.099364148000859
"no drift, ρ=0.6",4,"e-CUSUM, окно 100",0,0.0,,,,,2.137133810000705
"no drift, ρ=0.6",5,"PH, окно 100",0,0.0,,,,,1.7256442140001127
"no drift, ρ=0.6",5,"MeanShift(3), окно 100",0,0.0,,,,,1.5663589880014115
"no drift, ρ=0.6",5,"PH + AR, окно 100",0,0.0,,,,,1.882835627995064
"no drift, ρ=0.6",5,"PH, окно 25",0,0.0,,,,,5.343207973999597
"no drift, ρ=0.6",5,"PH + AR, окно 25",0,0.0,,,,,6.04122878400176
"no drift, ρ=0.6",5,"e-CUSUM, окно 100",0,0.0,,,,,1.8249951739990136
"abrupt, Δ=0.5, ρ=0.6",0,"e-CUSUM, каждый шаг",0,0.0,474.3,474.3,0.0,0.9,7.5904937400014205
"abrupt, Δ=0.5, ρ=0",1,"e-CUSUM, каждый шаг",2,0.0425531914893617,427.75,649.6,0.1999999999999999,0.8000000000000002,7.955487657999583
"abrupt, Δ=0.5, ρ=0",0,"e-CUSUM, каждый шаг",1,0.0212765957446808,395.1111111111111,697.3,0.0999999999999999,0.8000000000000002,7.535025755999413
"abrupt, Δ=0.5, ρ=0.6",1,"e-CUSUM, каждый шаг",27,0.2127659574468085,215.44444444444449,346.8,0.0999999999999999,0.391304347826087,7.3873423859995455
"abrupt, Δ=1, ρ=0.6",0,"e-CUSUM, каждый шаг",0,0.0,100.6,100.6,0.0,1.0,7.524548187997425
"abrupt, Δ=1, ρ=0",0,"e-CUSUM, каждый шаг",1,0.0212765957446808,93.9,93.9,0.0,0.9523809523809524,7.729124515999047
"abrupt, Δ=1, ρ=0",1,"e-CUSUM, каждый шаг",2,0.0425531914893617,113.9,113.9,0.0,0.9090909090909092,7.620637921998423
"abrupt, Δ=1, ρ=0.6",1,"e-CUSUM, каждый шаг",27,0.2127659574468085,100.6,100.6,0.0,0.4255319148936171,7.736512026001037
"gradual, Δ=0.5, ρ=0",1,"e-CUSUM, каждый шаг",2,0.0425531914893617,717.0,881.0,0.1999999999999999,0.7,7.709164562002115
"gradual, Δ=0.5, ρ=0",0,"e-CUSUM, каждый шаг",1,0.0212765957446808,654.1111111111111,930.4,0.0999999999999999,0.8000000000000002,7.583642218000023
"gradual, Δ=0.5, ρ=0.6",0,"e-CUSUM, каждый шаг",0,0.0,710.1,710.1,0.0,0.9,7.326321170000483
"gradual, Δ=0.5, ρ=0.6",1,"e-CUSUM, каждый шаг",27,0.2127659574468085,440.44444444444446,549.3,0.0999999999999999,0.391304347826087,8.032934477999788
"gradual, Δ=1, ρ=0.6",0,"e-CUSUM, каждый шаг",0,0.0,397.5,397.5,0.0,1.0,7.46999944199797
"gradual, Δ=1, ρ=0",0,"e-CUSUM, каждый шаг",1,0.0212765957446808,413.6,413.6,0.0,0.9523809523809524,7.090204505998827
"gradual, Δ=1, ρ=0",1,"e-CUSUM, каждый шаг",2,0.0425531914893617,419.3,419.3,0.0,0.9090909090909092,7.0489677840000695
"no drift, ρ=0",0,"e-CUSUM, каждый шаг",0,0.0,,,,,7.722777230000247
"no drift, ρ=0",2,"e-CUSUM, каждый шаг",0,0.0,,,,,7.541044475997296
"no drift, ρ=0",1,"e-CUSUM, каждый шаг",3,0.0638297872340425,,,,,7.834381012003633
"gradual, Δ=1, ρ=0.6",1,"e-CUSUM, каждый шаг",27,0.2127659574468085,328.2,328.2,0.0,0.4255319148936171,7.465795883997544
"no drift, ρ=0",3,"e-CUSUM, каждый шаг",0,0.0,,,,,7.606570016007026
"no drift, ρ=0",4,"e-CUSUM, каждый шаг",2,0.0425531914893617,,,,,7.482824123992941
"no drift, ρ=0",5,"e-CUSUM, каждый шаг",2,0.0425531914893617,,,,,7.11376749801002
"no drift, ρ=0.6",0,"e-CUSUM, каждый шаг",0,0.0,,,,,7.437882299995181
"no drift, ρ=0.6",3,"e-CUSUM, каждый шаг",1,0.0212765957446808,,,,,7.400705529999868
"no drift, ρ=0.6",2,"e-CUSUM, каждый шаг",3,0.0638297872340425,,,,,7.667142660004174
"no drift, ρ=0.6",4,"e-CUSUM, каждый шаг",0,0.0,,,,,7.295788929989612
"no drift, ρ=0.6",1,"e-CUSUM, каждый шаг",33,0.1914893617021276,,,,,7.546347149999747
"no drift, ρ=0.6",5,"e-CUSUM, каждый шаг",0,0.0,,,,,7.534298823993595
