n_streams,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,bh_window,0.2,1,22129,21980,457,408,49,0.8927789934354485,0.01856232939035487,8.680851063829786,0.14893617021276595,0.17361702127659576,5759.803921568628,50,49,0.020000000000000018,205.0204081632653,202.0,259.94
500,LOND,0.0001,1,23407,22817,31,0,31,0.0,0.0,0.0,0.0,0.0,inf,50,31,0.38,676.3870967741935,500.0,1125.94
500,LOND,0.001,1,23365,23013,45,0,45,0.0,0.0,0.0,0.0,0.0,inf,50,45,0.09999999999999998,524.8666666666667,422.0,649.94
500,LOND,0.01,1,23356,23118,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,359.4583333333333,323.0,421.94
500,LOND,0.05,1,23350,23147,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,351.94,310.5,351.94
500,LOND,0.1,1,23350,23162,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,321.94,300.5,321.94
500,LOND,0.2,1,23350,23186,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,273.94,262.0,273.94
500,bonferroni,0.0001,1,23356,23086,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,426.125,378.0,485.94
500,bonferroni,0.001,1,23356,23137,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,319.875,310.5,383.94
500,bonferroni,0.01,1,23347,23192,51,1,50,0.0196078431372549,4.3118316660917556e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,255.94,230.5,255.94
500,bonferroni,0.05,1,23326,23192,58,8,50,0.13793103448275862,0.00034494653328734045,0.1702127659574468,0.10638297872340426,0.003404255319148936,293750.0,50,50,0.0,213.94,214.5,213.94
500,bonferroni,0.1,1,23308,23183,64,14,50,0.21875,0.0006038907820385628,0.2978723404255319,0.14893617021276595,0.005957446808510639,167857.14285714287,50,50,0.0,195.94,200.5,195.94
500,bonferroni,0.2,1,23284,23169,72,22,50,0.3055555555555556,0.0009495446501791186,0.46808510638297873,0.2765957446808511,0.009361702127659575,106818.18181818182,50,50,0.0,175.94,190.0,175.94
100,LORD++,0.0001,0,4685,4532,5,0,5,0.0,0.0,0.0,0.0,0.0,inf,10,5,0.5,926.8,561.0,1474.0
100,LORD++,0.001,0,4679,4570,7,0,7,0.0,0.0,0.0,0.0,0.0,inf,10,7,0.30000000000000004,501.7142857142857,415.0,1034.0
100,LORD++,0.01,0,4670,4611,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,534.0,385.0,534.0
100,LORD++,0.05,0,4670,4615,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,494.0,338.0,494.0
100,LORD++,0.1,0,4670,4624,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,404.0,285.0,404.0
100,LORD++,0.2,0,4670,4631,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,334.0,285.0,334.0
100,uncorrected,0.0001,0,4670,4640,10,0,10,0.0,0.0,0.0,0.0,0.0,inf,10,10,0.0,244.0,219.0,244.0
100,uncorrected,0.001,0,4664,4637,12,2,10,0.16666666666666666,0.00043131334914815614,0.0425531914893617,0.0425531914893617,0.00425531914893617,235000.0,10,10,0.0,214.0,215.0,214.0
100,uncorrected,0.01,0,4639,4619,21,11,10,0.5238095238095238,0.0023814678501840225,0.23404255319148937,0.1702127659574468,0.023404255319148935,42727.27272727273,10,10,0.0,144.0,140.0,144.0
100,uncorrected,0.05,0,4549,4532,52,42,10,0.8076923076923077,0.009267431597528684,0.8936170212765957,0.425531914893617,0.08936170212765958,11190.47619047619,10,10,0.0,124.0,115.0,124.0
