case,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,mdr,mean_delay,mtr,fdp
"gradual, Δ=1",bh_window,0.001,0.0,692.5,0.04999999999999999,629.4041666666667,inf,0.0
"gradual, Δ=1",bh_window,0.01,0.0035460992907801418,529.1666666666666,0.0,529.1666666666666,inf,0.10437710437710439
"gradual, Δ=1",bh_window,0.05,0.008865248226950355,462.5,0.0,462.5,inf,0.17626262626262626
"gradual, Δ=1",bh_window,0.1,0.021631205673758865,434.1666666666667,0.0,434.1666666666667,inf,0.3184981684981685
"gradual, Δ=1",bonferroni,1e-05,0.0,1424.1666666666667,0.35000000000000003,1020.8796296296296,inf,0.0
"gradual, Δ=1",bonferroni,0.0001,0.0,985.8333333333334,0.15,795.9666666666667,inf,0.0
"gradual, Δ=1",bonferroni,0.001,0.0,709.1666666666666,0.04999999999999999,648.9412037037036,inf,0.0
"gradual, Δ=1",bonferroni,0.01,0.0007092198581560284,555.8333333333334,0.0,555.8333333333334,inf,0.030303030303030304
"gradual, Δ=1",bonferroni,0.05,0.0035460992907801418,469.1666666666667,0.0,469.1666666666667,inf,0.11611305361305362
"gradual, Δ=1",bonferroni,0.1,0.006382978723404255,440.8333333333333,0.0,440.8333333333333,inf,0.17856343862535815
"gradual, Δ=1",uncorrected,1e-05,0.0,709.1666666666666,0.04999999999999999,648.9412037037036,inf,0.0
"gradual, Δ=1",uncorrected,0.0001,0.0007092198581560284,555.8333333333334,0.0,555.8333333333334,inf,0.030303030303030304
"gradual, Δ=1",uncorrected,0.001,0.006382978723404255,440.8333333333333,0.0,440.8333333333333,inf,0.17856343862535815
"gradual, Δ=1",uncorrected,0.01,0.04609929078014185,385.8333333333333,0.0,385.8333333333333,105.6213610151158,0.547166149068323
"gradual, Δ=1",uncorrected,0.05,0.1294326241134752,337.5,0.0,337.5,28.785474629606494,0.7580234148855068
"gradual, Δ=1",uncorrected,0.1,0.2421985815602837,307.5,0.0,307.5,15.53754996546207,0.848168144886685
