rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
0.6,bh_window,0.05,3,9337,9278,21,1,20,0.047619047619047616,0.02127659574468085,0.00010778184953653804,0.3389830508474576,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,245.5,225.0,245.5,3828.920570264766
0.6,e_bh,0.05,3,9368,9072,11,0,11,0.0,0.0,0.0,0.037162162162162164,0.0,0.0,0.0,inf,20,11,0.44999999999999996,624.2727272727273,514.0,1430.5,inf
0.6,uncorrected,0.05,4,9271,9235,43,23,20,0.5348837209302325,0.2127659574468085,0.002490525175961018,0.5555555555555556,0.48936170212765956,0.23404255319148937,0.02446808510638298,40869.565217391304,20,20,0.0,141.65,146.5,141.65,288.52499271013977
0.6,bonferroni,0.05,4,9340,9279,20,0,20,0.0,0.0,0.0,0.32786885245901637,0.0,0.0,0.0,inf,20,20,0.0,266.65,265.5,266.65,inf
0.6,bh_window,0.05,4,9340,9282,20,0,20,0.0,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,inf,20,20,0.0,251.65,246.0,251.65,inf
0.6,e_bh,0.05,4,9361,9076,13,0,13,0.0,0.0,0.0,0.0456140350877193,0.0,0.0,0.0,inf,20,13,0.35,995.5384615384615,738.0,1386.65,inf
0.6,uncorrected,0.05,1,8464,8435,312,292,20,0.9358974358974359,0.5416764086976854,0.03461766449318317,0.6896551724137931,6.212765957446808,0.5957446808510638,0.31063829787234043,3219.178082191781,20,20,0.0,116.9,108.0,116.9,27.53787923175176
0.6,bonferroni,0.05,1,9292,9254,36,16,20,0.4444444444444444,0.14397163120567374,0.0017289820618111088,0.5263157894736842,0.3404255319148936,0.19148936170212766,0.01702127659574468,58750.0,20,20,0.0,151.9,149.0,151.9,386.7676102699144
0.6,bh_window,0.05,1,8872,8831,176,156,20,0.8863636363636364,0.09491030454735086,0.017665043596421695,0.4878048780487805,3.3191489361702127,0.10638297872340426,0.16595744680851063,6025.641025641025,20,20,0.0,191.9,187.0,191.9,31.39990112371561
0.6,e_bh,0.05,1,9340,9264,20,0,20,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,inf,20,20,0.0,341.9,303.5,341.9,inf
0.6,uncorrected,0.05,6,9169,9132,78,58,20,0.7435897435897436,0.22978723404255322,0.006351292159439334,0.5405405405405406,1.2340425531914894,0.2765957446808511,0.06170212765957447,16206.896551724138,20,20,0.0,133.8,138.5,133.8,121.12777691871551
0.6,bonferroni,0.05,6,9340,9279,20,0,20,0.0,0.0,0.0,0.32786885245901637,0.0,0.0,0.0,inf,20,20,0.0,253.8,253.0,253.8,inf
0.6,bh_window,0.05,6,9340,9281,20,0,20,0.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,inf,20,20,0.0,243.8,251.0,243.8,inf
0.6,e_bh,0.05,6,9365,9050,12,0,12,0.0,0.0,0.0,0.0380952380952381,0.0,0.0,0.0,inf,20,12,0.4,1111.4166666666667,1046.5,1523.8,inf
0.6,uncorrected,0.05,5,8878,8846,174,154,20,0.8850574712643678,0.48498817966903074,0.01740899841736378,0.625,3.276595744680851,0.5531914893617021,0.16382978723404254,6103.896103896104,20,20,0.0,120.65,121.0,120.65,50.591762154132645
