n_streams,scenario,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,fdp,window_fdp,mdr,mean_delay
100,sporadic,storey_bh,0.0001,0.0,626.8249999999999,0.0,0.0,0.09999999999999999,442.79205653021444
100,sporadic,storey_bh,0.001,0.0003546099290780142,389.325,0.007936507936507936,0.0007092198581560284,0.025000000000000005,340.2416666666666
100,sporadic,storey_bh,0.01,0.004964539007092198,250.15833333333333,0.07359307359307359,0.01427304964539007,0.0,250.15833333333333
100,sporadic,storey_bh,0.05,0.03368794326241135,210.99166666666667,0.3025696839256162,0.04308605453786931,0.0,210.99166666666667
100,sporadic,storey_bh,0.1,0.0826241134751773,191.82500000000002,0.4665387396077758,0.051995384442192955,0.0,191.82500000000002
100,sporadic,storey_bh,0.2,0.19432624113475175,196.82500000000002,0.6217372954240702,0.06810422250240246,0.00833333333333334,187.77807017543861
100,sporadic,uncorrected,1e-05,0.0,477.6583333333333,0.0,0.0,0.03333333333333335,410.00113519091843
100,sporadic,uncorrected,0.0001,0.0003546099290780142,265.9916666666667,0.007936507936507936,0.0035460992907801418,0.0,265.9916666666667
100,sporadic,uncorrected,0.001,0.004609929078014184,203.49166666666667,0.08875853078751629,0.035106382978723406,0.0,203.49166666666667
100,sporadic,uncorrected,0.01,0.03687943262411347,152.65833333333333,0.41038529371862703,0.21442080378250591,0.0,152.65833333333333
100,sporadic,uncorrected,0.05,0.13687943262411348,126.825,0.7392997642524434,0.47702634245187436,0.0,126.825
100,sporadic,uncorrected,0.1,0.24113475177304963,114.325,0.8424152008483977,0.6237445375743248,0.0,114.325
100,sporadic,uncorrected,0.2,0.48262411347517736,124.325,0.9176100328330375,0.8101834663891402,0.0,124.325
500,1 event,BatchBH,1e-05,0.0,2231.8333333333335,0.0,0.0,0.8216666666666667,1139.821782736083
500,1 event,BatchBH,0.0001,0.0,1814.0,0.0,0.0,0.5916666666666667,848.501004368402
500,1 event,BatchBH,0.001,0.0,1276.5,0.0,0.0,0.33,736.370846122315
500,1 event,BatchBH,0.01,0.0,734.6666666666666,0.0,0.0,0.11666666666666664,513.2249790147915
500,1 event,BatchBH,0.05,0.0,471.1666666666667,0.0,0.0,0.03666666666666668,398.3912219145922
500,1 event,BatchBH,0.1,7.092198581560284e-05,401.5,0.0016501650165016502,0.0035460992907801418,0.020000000000000018,359.85489255623685
500,1 event,BatchBH,0.2,0.00014184397163120567,355.5,0.0032679738562091504,0.0035460992907801418,0.013333333333333345,325.4793083900227
500,1 event,LORD++,1e-05,0.0,1778.5,0.0,0.0,0.6033333333333334,544.1428917790274
500,1 event,LORD++,0.0001,0.0,1299.8333333333333,0.0,0.0,0.34,544.5949968306776
500,1 event,LORD++,0.001,0.0,518.1666666666666,0.0,0.0,0.06,387.0557617059683
500,1 event,LORD++,0.01,0.0,323.5,0.0,0.0,0.003333333333333336,313.7979797979798
500,1 event,LORD++,0.05,0.0003546099290780142,272.3333333333333,0.008154698965042137,0.00036803992945448854,0.0,272.3333333333333
500,1 event,LORD++,0.1,0.0007092198581560284,254.16666666666666,0.015996929363265997,0.0006393531456431143,0.0,254.16666666666666
500,1 event,LORD++,0.2,0.002127659574468085,250.83333333333334,0.04442316113635375,0.005635062914539502,0.0,250.83333333333334
500,1 event,bh_window,1e-05,0.0,1259.1666666666667,0.0,0.0,0.345,561.748371998372
500,1 event,bh_window,0.0001,0.0,713.8333333333334,0.0,0.0,0.1433333333333333,396.9284251651051
