n_streams,scenario,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,sporadic,storey_bh,1e-05,2,23225,22492,94,0,94,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,94,0.06000000000000005,584.3085106382979,439.5,684.98
500,sporadic,storey_bh,0.0001,2,23206,22723,98,0,98,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,98,0.020000000000000018,406.7040816326531,328.5,434.98
500,sporadic,storey_bh,0.001,2,23200,22861,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,290.98,276.0,290.98
500,sporadic,storey_bh,0.01,2,23182,22906,106,6,100,0.05660377358490566,0.01371158392434988,0.00026194010302977384,0.1276595744680851,0.0425531914893617,0.002553191489361702,391666.6666666667,100,100,0.0,227.98,225.0,227.98
500,sporadic,storey_bh,0.05,2,22993,22737,169,70,99,0.41420118343195267,0.04245040600267242,0.003078682323965343,1.4893617021276595,0.10638297872340426,0.029787234042553193,33571.42857142857,100,99,0.010000000000000009,195.75757575757575,187.0,209.98
500,sporadic,storey_bh,0.1,2,22135,21847,455,359,96,0.789010989010989,0.0539265778473748,0.016432462122945943,7.638297872340425,0.1276595744680851,0.15276595744680851,6545.961002785515,100,96,0.040000000000000036,194.69791666666666,187.5,255.98
500,sporadic,storey_bh,0.2,2,21073,20812,809,711,98,0.8788627935723115,0.10497159245237246,0.034162982894483954,15.127659574468085,0.1702127659574468,0.3025531914893617,3305.2039381153304,100,98,0.020000000000000018,211.4795918367347,183.5,242.98
500,sporadic,BatchBH,1e-05,2,23417,21506,30,0,30,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,30,0.7,930.9,801.5,1862.98
500,sporadic,BatchBH,0.0001,2,23322,21931,63,0,63,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,63,0.37,793.8571428571429,575.0,1342.98
500,sporadic,BatchBH,0.001,2,23256,22324,86,0,86,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,86,0.14,608.5697674418604,453.5,883.98
500,sporadic,BatchBH,0.01,2,23206,22697,98,0,98,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,98,0.020000000000000018,433.234693877551,363.5,460.98
500,sporadic,BatchBH,0.05,2,23203,22789,99,0,99,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,99,0.010000000000000009,347.83838383838383,297.0,365.98
500,sporadic,BatchBH,0.1,2,23203,22819,99,0,99,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,99,0.010000000000000009,317.5353535353535,293.0,335.98
500,sporadic,BatchBH,0.2,2,23200,22873,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,278.98,254.0,278.98
500,sporadic,bonferroni,1e-05,2,23328,21986,60,0,60,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,60,0.4,685.8666666666667,443.0,1293.98
500,sporadic,bonferroni,0.0001,2,23250,22403,86,0,86,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,86,0.14,501.77906976744185,418.5,798.98
500,sporadic,bonferroni,0.001,2,23212,22693,96,0,96,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,96,0.040000000000000036,399.1770833333333,339.5,470.98
500,sporadic,bonferroni,0.01,2,23200,22844,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,307.98,281.5,307.98
500,sporadic,bonferroni,0.05,2,23200,22914,101,1,100,0.009900990099009901,0.02127659574468085,4.3641441913240814e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,100,100,0.0,237.98,229.5,237.98
500,sporadic,bonferroni,0.1,2,23196,22931,103,3,100,0.02912621359223301,0.04468085106382979,0.00013082726440190136,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,100,100,0.0,216.98,216.0,216.98
500,sporadic,bonferroni,0.2,2,23188,22940,106,6,100,0.05660377358490566,0.09456264775413711,0.00026155187445510024,0.1276595744680851,0.1276595744680851,0.002553191489361702,391666.6666666667,100,100,0.0,199.98,193.5,199.98
500,sporadic,LORD++,1e-05,0,23278,22103,74,0,74,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,74,0.26,843.2837837837837,839.5,1129.33
500,sporadic,LORD++,0.0001,0,23233,22545,89,0,89,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,89,0.10999999999999999,508.1685393258427,435.0,642.33
500,sporadic,LORD++,0.001,0,23206,22781,98,0,98,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,98,0.020000000000000018,361.5,341.0,379.33
500,sporadic,LORD++,0.01,0,23200,22866,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,288.33,274.5,288.33
500,sporadic,LORD++,0.05,0,23194,22910,102,2,100,0.0196078431372549,0.0056990881458966565,8.729812309035356e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,100,100,0.0,238.33,241.0,238.33
500,sporadic,LORD++,0.1,0,23182,22915,106,6,100,0.05660377358490566,0.02264667956157318,0.00026183722452542,0.1276595744680851,0.10638297872340426,0.002553191489361702,391666.6666666667,100,100,0.0,221.33,219.0,221.33
500,sporadic,LORD++,0.2,0,23164,22911,112,12,100,0.10714285714285714,0.03606889564336373,0.0005237658766531361,0.2553191489361702,0.14893617021276595,0.005106382978723404,195833.33333333334,100,100,0.0,207.33,196.5,207.33
500,sporadic,uncorrected,1e-05,0,23200,22865,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,289.33,277.5,289.33
500,sporadic,uncorrected,0.0001,0,23200,22919,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,235.33,238.0,235.33
500,sporadic,uncorrected,0.001,0,23152,22925,116,16,100,0.13793103448275862,0.1932624113475177,0.000697928026172301,0.3404255319148936,0.2553191489361702,0.006808510638297872,146875.0,100,100,0.0,181.33,178.5,181.33
500,sporadic,uncorrected,0.01,0,22750,22560,252,152,100,0.6031746031746031,0.5149872430667504,0.00673758865248227,3.234042553191489,0.7021276595744681,0.06468085106382979,15460.526315789473,100,100,0.0,150.33,151.0,150.33
500,sporadic,uncorrected,0.05,0,21892,21734,543,443,100,0.8158379373848987,0.6996725103108081,0.020382810343241006,9.425531914893616,0.9361702127659575,0.18851063829787235,5304.740406320542,100,100,0.0,117.33,119.0,117.33
500,sporadic,uncorrected,0.1,0,20901,20752,877,777,100,0.8859749144811858,0.7839905518912172,0.03744217424826523,16.53191489361702,0.9787234042553191,0.33063829787234045,3024.453024453024,100,100,0.0,112.33,107.0,112.33
500,sporadic,uncorrected,0.2,0,18894,18760,1557,1457,100,0.9357739242132306,0.8825681595193005,0.07766524520255863,31.0,1.0,0.62,1612.9032258064517,100,100,0.0,109.33,96.0,109.33
500,sporadic,bh_window,1e-05,0,23257,22460,81,0,81,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,81,0.18999999999999995,497.4074074074074,420.0,751.33
500,sporadic,bh_window,0.0001,0,23212,22730,96,0,96,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,96,0.040000000000000036,397.6979166666667,350.5,436.33
500,sporadic,bh_window,0.001,0,23200,22865,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,289.33,277.5,289.33
500,sporadic,bh_window,0.01,0,23197,22916,101,1,100,0.009900990099009901,0.0026595744680851063,4.363763309478094e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,100,100,0.0,235.33,238.0,235.33
500,sporadic,bh_window,0.05,0,23179,22937,107,7,100,0.06542056074766354,0.01714402618657938,0.0003051837642237433,0.14893617021276595,0.06382978723404255,0.0029787234042553193,335714.28571428574,100,100,0.0,196.33,191.5,196.33
500,sporadic,bh_window,0.1,0,23089,22857,137,38,99,0.2773722627737226,0.04911347517730497,0.0016625103906899418,0.8085106382978723,0.1276595744680851,0.016170212765957447,61842.10526315789,100,99,0.010000000000000009,178.42424242424244,176.0,189.33
500,sporadic,bh_window,0.2,0,22627,22398,291,191,100,0.6563573883161512,0.07174031642116749,0.008527547102419859,4.0638297872340425,0.14893617021276595,0.08127659574468085,12303.664921465968,100,100,0.0,183.33,176.5,183.33
500,sporadic,storey_bh,1e-05,0,23221,22580,93,0,93,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,93,0.06999999999999995,534.3118279569892,420.0,595.33
500,sporadic,storey_bh,0.0001,0,23203,22778,99,0,99,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,99,0.010000000000000009,370.2323232323232,334.0,379.33
