window,min_p,n_below,n_streams,rho,seed
4,0.00017507008492375988,11,500,0.0,12
5,0.0003717363690774256,11,500,0.0,12
6,0.0006381751230667123,10,500,0.0,12
7,0.0004190971703197137,13,500,0.0,12
8,0.00046433295851546885,14,500,0.0,12
9,0.0006280530831735219,10,500,0.0,12
10,0.0006145342671260208,11,500,0.0,12
11,0.00024834649598276347,8,500,0.0,12
12,0.00020085346365884168,6,500,0.0,12
13,0.00033724720666996,8,500,0.0,12
14,0.0006652094803219037,9,500,0.0,12
15,0.0018446946979645091,9,500,0.0,12
16,0.0016615468739955193,10,500,0.0,12
17,0.0018951907108326338,14,500,0.0,12
18,0.0016255336912466619,11,500,0.0,12
19,0.0010681443638024942,16,500,0.0,12
20,0.000369826623743966,13,500,0.0,12
21,0.0006147480845354059,16,500,0.0,12
22,0.0014524403891009712,13,500,0.0,12
23,0.0020366926037980525,8,500,0.0,12
24,0.0011226207054161126,6,500,0.0,12
25,0.0014907054635827735,8,500,0.0,12
26,0.0004922315559947806,10,500,0.0,12
27,0.00043918149182713595,9,500,0.0,12
28,0.00058685338599785,7,500,0.0,12
29,0.0008337369528481237,8,500,0.0,12
30,0.0009808184996360548,12,500,0.0,12
31,0.00026517701246158,13,500,0.0,12
32,7.068430796023121e-05,11,500,0.0,12
33,8.647571936427633e-05,12,500,0.0,12
34,0.00019090533642553148,11,500,0.0,12
35,0.00027922306606517036,14,500,0.0,12
36,0.000346481915437936,9,500,0.0,12
37,0.000609551345141848,9,500,0.0,12
38,0.0006969935494398041,6,500,0.0,12
39,0.0003548537402354656,10,500,0.0,12
40,0.00030788267560377403,11,500,0.0,12
41,0.00032768656036936484,11,500,0.0,12
42,0.00042572289129453933,9,500,0.0,12
43,0.001711402440001711,9,500,0.0,12
44,0.0011658057299076133,7,500,0.0,12
45,0.0007298357768802082,13,500,0.0,12
46,0.0004708876789007403,16,500,0.0,12
0,0.0031083081219926475,5,500,0.0,13
1,0.0017107974332879904,8,500,0.0,13
2,0.00210772982249463,9,500,0.0,13
3,0.004611033518898098,7,500,0.0,13
4,0.004376707408675668,5,500,0.0,13
5,0.0006589972254291982,1,500,0.0,13
6,0.0014634182413900518,2,500,0.0,13
7,0.0016961836937422915,3,500,0.0,13
8,0.0016698580640464736,4,500,0.0,13
9,0.004817704000697403,5,500,0.0,13
10,0.0009028431453851011,7,500,0.0,13
11,0.0008482973540159807,8,500,0.0,13
12,0.00015561332203824576,9,500,0.0,13
13,0.00026779056431307013,9,500,0.0,13
14,0.0031837430154619734,5,500,0.0,13
15,0.0014306047286974407,3,500,0.0,13
16,0.004590338858474035,5,500,0.0,13
17,0.0026951025152885935,10,500,0.0,13
18,0.0012102605248853033,10,500,0.0,13
19,0.0030196862375200927,6,500,0.0,13
20,0.0010673003231395544,8,500,0.0,13
21,0.0017302739701936206,9,500,0.0,13
