case,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
"abrupt, Δ=0.5",LORD++,0.1,1,4679,4495,7,0,7,0.0,0.0,0.0,0.03804347826086957,0.0,0.0,0.0,inf,10,7,0.30000000000000004,1775.142857142857,1755.0,1786.9,inf
"abrupt, Δ=0.5",uncorrected,1e-05,4,4691,4508,3,0,3,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,inf,10,3,0.7,1273.3333333333333,1141.0,1774.8,inf
"abrupt, Δ=0.5",uncorrected,0.0001,4,4685,4551,5,0,5,0.0,0.0,0.0,0.03731343283582089,0.0,0.0,0.0,inf,10,5,0.5,494.6,355.0,1284.8,inf
"abrupt, Δ=0.5",uncorrected,0.001,4,4674,4572,9,0,9,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,inf,10,9,0.09999999999999998,951.0,345.0,964.8,inf
"abrupt, Δ=0.5",uncorrected,0.01,4,4645,4598,19,9,10,0.47368421052631576,0.11702127659574468,0.0019573727707699,0.2127659574468085,0.19148936170212766,0.14893617021276595,0.019148936170212766,52222.22222222222,10,10,0.0,414.8,306.0,414.8,125.89735347690988
"abrupt, Δ=0.5",uncorrected,0.05,4,4558,4526,49,39,10,0.7959183673469388,0.43617021276595747,0.008616880247459125,0.3125,0.8297872340425532,0.48936170212765956,0.08297872340425531,12051.28205128205,10,10,0.0,264.8,251.0,264.8,45.51088387946394
"abrupt, Δ=0.5",uncorrected,0.1,4,4428,4404,93,83,10,0.8924731182795699,0.5487335359675786,0.018846503178928248,0.4166666666666667,1.7659574468085106,0.574468085106383,0.17659574468085107,5662.650602409639,10,10,0.0,194.8,172.0,194.8,29.06904826698993
"abrupt, Δ=0.5",bonferroni,1e-05,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",bonferroni,0.0001,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",bonferroni,0.001,4,4691,4508,3,0,3,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,inf,10,3,0.7,1273.3333333333333,1141.0,1774.8,inf
"abrupt, Δ=0.5",bonferroni,0.01,4,4685,4551,5,0,5,0.0,0.0,0.0,0.03731343283582089,0.0,0.0,0.0,inf,10,5,0.5,494.6,355.0,1284.8,inf
"abrupt, Δ=0.5",bonferroni,0.05,4,4682,4559,6,0,6,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,inf,10,6,0.4,438.3333333333333,334.5,1174.8,inf
"abrupt, Δ=0.5",bonferroni,0.1,4,4674,4572,9,0,9,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,inf,10,9,0.09999999999999998,951.0,345.0,964.8,inf
"abrupt, Δ=0.5",bh_window,1e-05,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",bh_window,0.0001,4,4694,4491,2,0,2,0.0,0.0,0.0,0.009852216748768473,0.0,0.0,0.0,inf,10,2,0.8,1839.5,1839.5,1974.8,inf
"abrupt, Δ=0.5",bh_window,0.001,4,4691,4508,3,0,3,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,inf,10,3,0.7,1273.3333333333333,1141.0,1774.8,inf
"abrupt, Δ=0.5",bh_window,0.01,4,4685,4552,5,0,5,0.0,0.0,0.0,0.03759398496240601,0.0,0.0,0.0,inf,10,5,0.5,474.6,355.0,1274.8,inf
"abrupt, Δ=0.5",bh_window,0.05,4,4679,4568,7,0,7,0.0,0.0,0.0,0.06306306306306306,0.0,0.0,0.0,inf,10,7,0.30000000000000004,422.57142857142856,324.0,1054.8,inf
"abrupt, Δ=0.5",bh_window,0.1,4,4673,4588,9,0,9,0.0,0.0,0.0,0.10588235294117647,0.0,0.0,0.0,inf,10,9,0.09999999999999998,762.1111111111111,345.0,794.8,inf
"abrupt, Δ=0.5",LORD++,1e-05,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",LORD++,0.0001,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",LORD++,0.001,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",LORD++,0.01,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",LORD++,0.05,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=0.5",LORD++,0.1,4,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2114.8,
"abrupt, Δ=1",uncorrected,1e-05,0,4670,4615,10,0,10,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,inf,10,10,0.0,494.0,338.0,494.0,inf
"abrupt, Δ=1",uncorrected,0.0001,0,4670,4640,10,0,10,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,inf,10,10,0.0,244.0,219.0,244.0,inf
"abrupt, Δ=1",uncorrected,0.001,0,4664,4637,12,2,10,0.16666666666666666,0.0425531914893617,0.00043131334914815614,0.37037037037037035,0.0425531914893617,0.0425531914893617,0.00425531914893617,235000.0,10,10,0.0,214.0,215.0,214.0,1098.1308411214952
"abrupt, Δ=1",uncorrected,0.01,0,4639,4619,21,11,10,0.5238095238095238,0.1524822695035461,0.0023814678501840225,0.5,0.23404255319148937,0.1702127659574468,0.023404255319148935,42727.27272727273,10,10,0.0,144.0,140.0,144.0,296.7171717171717
"abrupt, Δ=1",uncorrected,0.05,0,4549,4532,52,42,10,0.8076923076923077,0.4075987841945289,0.009267431597528684,0.5882352941176471,0.8936170212765957,0.425531914893617,0.08936170212765958,11190.47619047619,10,10,0.0,124.0,115.0,124.0,90.2457757296467
